,alpha,beta,depth,gof,hemi,model,ns,power,subject
155,0.0,0.5,0.9,0.2865511267687446,rh,lasso,4.0,0.0,CC120049
156,0.0,0.1,0.9,0.9259781391282854,lh,lasso,21.0,0.0,CC120049
157,0.0,0.1,0.9,0.9259781391282854,rh,lasso,25.0,0.0,CC120049
158,0.0,0.3,0.9,0.6003841598343118,lh,lasso,9.0,0.0,CC120049
159,0.0,0.3,0.9,0.6003841598343118,rh,lasso,13.0,0.0,CC120049
160,0.0,0.25,0.9,0.7629214618664741,lh,lasso,11.0,0.0,CC120061
161,0.0,0.25,0.9,0.7629214618664741,rh,lasso,8.0,0.0,CC120061
162,0.0,0.15,0.9,0.8746442025384167,lh,lasso,19.0,0.0,CC120061
163,0.0,0.15,0.9,0.8746442025384167,rh,lasso,14.0,0.0,CC120061
164,0.0,0.8,0.9,0.11075897534044155,lh,lasso,2.0,0.0,CC120061
165,0.0,0.8,0.9,0.11075897534044155,rh,lasso,0.0,0.0,CC120061
166,0.0,0.4,0.9,0.5863633626730687,lh,lasso,7.0,0.0,CC120061
167,0.0,0.4,0.9,0.5863633626730687,rh,lasso,4.0,0.0,CC120061
168,0.0,0.6,0.9,0.3518708364590639,lh,lasso,4.0,0.0,CC120061
169,0.0,0.6,0.9,0.3518708364590639,rh,lasso,1.0,0.0,CC120061
170,0.0,0.2,0.9,0.8202303000107738,lh,lasso,13.0,0.0,CC120061
171,0.0,0.2,0.9,0.8202303000107738,rh,lasso,10.0,0.0,CC120061
172,0.0,0.7,0.9,0.2340084921397284,lh,lasso,3.0,0.0,CC120061
173,0.0,0.7,0.9,0.2340084921397284,rh,lasso,1.0,0.0,CC120061
174,0.0,0.5,0.9,0.4650198624742389,lh,lasso,4.0,0.0,CC120061
175,0.0,0.5,0.9,0.4650198624742389,rh,lasso,2.0,0.0,CC120061
176,0.0,0.1,0.9,0.9214341764292915,lh,lasso,20.0,0.0,CC120061
177,0.0,0.1,0.9,0.9214341764292915,rh,lasso,26.0,0.0,CC120061
178,0.0,0.3,0.9,0.7065309856308191,lh,lasso,10.0,0.0,CC120061
179,0.0,0.3,0.9,0.7065309856308191,rh,lasso,7.0,0.0,CC120061
180,0.0,0.25,0.9,0.747811290595044,lh,lasso,22.0,0.0,CC120120
181,0.0,0.25,0.9,0.747811290595044,rh,lasso,10.0,0.0,CC120120
182,0.0,0.15,0.9,0.8527531902627349,lh,lasso,21.0,0.0,CC120120
183,0.0,0.15,0.9,0.8527531902627349,rh,lasso,15.0,0.0,CC120120
184,0.0,0.8,0.9,0.09537895446400646,lh,lasso,4.0,0.0,CC120120
185,0.0,0.8,0.9,0.09537895446400646,rh,lasso,0.0,0.0,CC120120
186,0.0,0.4,0.9,0.5529145151174376,lh,lasso,14.0,0.0,CC120120
187,0.0,0.4,0.9,0.5529145151174376,rh,lasso,6.0,0.0,CC120120
188,0.0,0.6,0.9,0.3015903834937296,lh,lasso,6.0,0.0,CC120120
189,0.0,0.6,0.9,0.3015903834937296,rh,lasso,2.0,0.0,CC120120
190,0.0,0.2,0.9,0.8047694451242504,lh,lasso,21.0,0.0,CC120120
191,0.0,0.2,0.9,0.8047694451242504,rh,lasso,13.0,0.0,CC120120
192,0.0,0.7,0.9,0.1939777873792592,lh,lasso,5.0,0.0,CC120120
193,0.0,0.7,0.9,0.1939777873792592,rh,lasso,1.0,0.0,CC120120
194,0.0,0.5,0.9,0.41348184779038366,lh,lasso,9.0,0.0,CC120120
195,0.0,0.5,0.9,0.41348184779038366,rh,lasso,5.0,0.0,CC120120
196,0.0,0.1,0.9,0.9028030295187255,lh,lasso,24.0,0.0,CC120120
197,0.0,0.1,0.9,0.9028030295187255,rh,lasso,19.0,0.0,CC120120
198,0.0,0.3,0.9,0.6849184134640727,lh,lasso,15.0,0.0,CC120120
199,0.0,0.3,0.9,0.6849184134640727,rh,lasso,9.0,0.0,CC120120
200,0.0,0.25,0.9,0.6753802734285421,lh,lasso,7.0,0.0,CC120166
201,0.0,0.25,0.9,0.6753802734285421,rh,lasso,12.0,0.0,CC120166
202,0.0,0.15,0.9,0.8444225146934332,lh,lasso,14.0,0.0,CC120166
203,0.0,0.15,0.9,0.8444225146934332,rh,lasso,17.0,0.0,CC120166
204,0.0,0.8,0.9,0.13822039881384995,lh,lasso,0.0,0.0,CC120166
205,0.0,0.8,0.9,0.13822039881384995,rh,lasso,2.0,0.0,CC120166
206,0.0,0.4,0.9,0.44852816379937144,lh,lasso,1.0,0.0,CC120166
207,0.0,0.4,0.9,0.44852816379937144,rh,lasso,8.0,0.0,CC120166
208,0.0,0.6,0.9,0.26352495344470717,lh,lasso,0.0,0.0,CC120166
209,0.0,0.6,0.9,0.26352495344470717,rh,lasso,3.0,0.0,CC120166
210,0.0,0.2,0.9,0.7612545359297639,lh,lasso,8.0,0.0,CC120166
