,V1_count,V1_geod,V1_max,alpha,beta,depth,ffa_count,ffa_geod,ffa_max,ffg_count,ffg_geod,ffg_max,gof,hemi,model,n_tasks,ns,power,source_max,subject
4583,0.0,9.303097049385933,0.0,0,0.2,0.9,0.0,4.671090869099801,0.0,0.1111111111111111,5.225246715596439,0.4108277546387794,0.06646097193828648,rh,mwe-S16,16.0,38.0,1.0,0.7896420916537044,sub006
4584,0.0,4.230741722764206,0.03863369168204897,0,0.2,0.9,0.0,3.265184868641541,0.0,0.2222222222222222,3.0232331371519816,0.14679260942596561,-0.593616279754906,lh,mwe-S16,16.0,50.0,1.0,21.537399579188524,sub007
4585,0.2222222222222222,2.802699550195599,0.6773098745593761,0,0.2,0.9,0.0,6.294465063257211,0.0,0.2222222222222222,4.92623614820783,0.23159244474547053,-0.593616279754906,rh,mwe-S16,16.0,52.0,1.0,14.587493407315339,sub007
4586,0.2222222222222222,3.6220221251225926,0.42245732205011943,0,0.2,0.9,0.0,4.737220272777207,0.0,0.1111111111111111,4.2947059348381735,0.6082168254017094,0.11579585868841213,lh,mwe-S16,16.0,33.0,1.0,1.5127132604299331,sub008
4587,0.0,5.3077995201755135,0.032076797283222956,0,0.2,0.9,0.0,3.043411509593533,0.0,0.3333333333333333,2.182889045285845,1.0,0.11579585868841213,rh,mwe-S16,16.0,36.0,1.0,2.064439880207248,sub008
4588,0.1111111111111111,6.14168731585675,0.1247443518042123,0,0.2,0.9,0.0,2.6284372515655954,0.0,0.2222222222222222,2.7688360925150826,0.1606441818809274,0.128168540361852,lh,mwe-S16,16.0,44.0,1.0,1.933704455893323,sub009
4589,0.1111111111111111,5.738361092261321,0.2616011267885333,0,0.2,0.9,0.0,2.4393379075332478,0.0,0.2222222222222222,1.8879201800114174,1.0,0.128168540361852,rh,mwe-S16,16.0,42.0,1.0,12.037189478338048,sub009
4590,0.1111111111111111,4.885606476428766,0.11102255847740214,0,0.2,0.9,0.0,8.5466019532536,0.034828997776705464,0.0,7.968355254588858,0.034828997776705464,0.1485009360364139,lh,mwe-S16,16.0,47.0,1.0,3.362261531834044,sub010
4591,0.0,8.961749893547161,0.05559997519300043,0,0.2,0.9,0.0,10.304156883183115,0.0,0.0,9.694484314012481,0.0,0.1485009360364139,rh,mwe-S16,16.0,42.0,1.0,22.22073065520339,sub010
4592,0.3333333333333333,3.500321237906248,0.06343663997818483,0,0.2,0.9,0.0,4.495495166575268,0.0,0.2222222222222222,3.9770121448836053,0.10371941616788348,0.1238354182899466,lh,mwe-S16,16.0,53.0,1.0,8.093482515459918,sub011
