,alpha,beta,depth,gof,hemi,model,n_tasks,ns,power,subject
129,5.0,0.15,0.9,0.9823514876477775,rh,mwe-S32,32.0,2562.0,1.0,CC110033
130,5.0,0.15,0.9,0.99369040409152,lh,mwe-S32,32.0,2562.0,1.0,CC110101
131,5.0,0.15,0.9,0.99369040409152,rh,mwe-S32,32.0,2562.0,1.0,CC110101
132,5.0,0.15,0.9,0.9930865697039101,lh,mwe-S32,32.0,2562.0,1.0,CC110187
133,5.0,0.15,0.9,0.9930865697039101,rh,mwe-S32,32.0,2562.0,1.0,CC110187
134,5.0,0.15,0.9,0.9858910005927342,lh,mwe-S32,32.0,2562.0,1.0,CC110411
135,5.0,0.15,0.9,0.9858910005927342,rh,mwe-S32,32.0,2562.0,1.0,CC110411
136,5.0,0.15,0.9,0.9826148790516177,lh,mwe-S32,32.0,2562.0,1.0,CC110606
137,5.0,0.15,0.9,0.9826148790516177,rh,mwe-S32,32.0,2562.0,1.0,CC110606
138,5.0,0.15,0.9,0.9813087558373463,lh,mwe-S32,32.0,2562.0,1.0,CC112141
139,5.0,0.15,0.9,0.9813087558373463,rh,mwe-S32,32.0,2562.0,1.0,CC112141
140,5.0,0.15,0.9,0.9900584012424064,lh,mwe-S32,32.0,2562.0,1.0,CC120008
141,5.0,0.15,0.9,0.9900584012424064,rh,mwe-S32,32.0,2562.0,1.0,CC120008
142,5.0,0.15,0.9,0.9948948422464964,lh,mwe-S32,32.0,2562.0,1.0,CC120049
143,5.0,0.15,0.9,0.9948948422464964,rh,mwe-S32,32.0,2562.0,1.0,CC120049
144,5.0,0.15,0.9,0.9826587027082269,lh,mwe-S32,32.0,2562.0,1.0,CC120061
145,5.0,0.15,0.9,0.9826587027082269,rh,mwe-S32,32.0,2562.0,1.0,CC120061
146,5.0,0.15,0.9,0.9907978355784892,lh,mwe-S32,32.0,2562.0,1.0,CC120120
147,5.0,0.15,0.9,0.9907978355784892,rh,mwe-S32,32.0,2562.0,1.0,CC120120
148,5.0,0.15,0.9,0.9820049747978841,lh,mwe-S32,32.0,2562.0,1.0,CC120166
149,5.0,0.15,0.9,0.9820049747978841,rh,mwe-S32,32.0,2562.0,1.0,CC120166
150,5.0,0.15,0.9,0.9956245610649422,lh,mwe-S32,32.0,2562.0,1.0,CC120182
151,5.0,0.15,0.9,0.9956245610649422,rh,mwe-S32,32.0,2562.0,1.0,CC120182
152,5.0,0.15,0.9,0.9678571449287537,lh,mwe-S32,32.0,2562.0,1.0,CC120218
153,5.0,0.15,0.9,0.9678571449287537,rh,mwe-S32,32.0,2562.0,1.0,CC120218
154,5.0,0.15,0.9,0.9959295435381815,lh,mwe-S32,32.0,2562.0,1.0,CC120264
155,5.0,0.15,0.9,0.9959295435381815,rh,mwe-S32,32.0,2562.0,1.0,CC120264
156,5.0,0.15,0.9,0.9823413657205204,lh,mwe-S32,32.0,2562.0,1.0,CC120309
157,5.0,0.15,0.9,0.9823413657205204,rh,mwe-S32,32.0,2562.0,1.0,CC120309
158,5.0,0.15,0.9,0.9940355019541811,lh,mwe-S32,32.0,2562.0,1.0,CC120313
159,5.0,0.15,0.9,0.9940355019541811,rh,mwe-S32,32.0,2562.0,1.0,CC120313
160,5.0,0.15,0.9,0.9912724762033258,lh,mwe-S32,32.0,2562.0,1.0,CC120319
161,5.0,0.15,0.9,0.9912724762033258,rh,mwe-S32,32.0,2562.0,1.0,CC120319
162,5.0,0.15,0.9,0.9700301295325167,lh,mwe-S32,32.0,2562.0,1.0,CC120376
163,5.0,0.15,0.9,0.9700301295325167,rh,mwe-S32,32.0,2562.0,1.0,CC120376
164,5.0,0.15,0.9,0.9895813420896139,lh,mwe-S32,32.0,2562.0,1.0,CC120469
165,5.0,0.15,0.9,0.9895813420896139,rh,mwe-S32,32.0,2562.0,1.0,CC120469
166,5.0,0.15,0.9,0.9783138499445696,lh,mwe-S32,32.0,2562.0,1.0,CC120550
167,5.0,0.15,0.9,0.9783138499445696,rh,mwe-S32,32.0,2562.0,1.0,CC120550
168,5.0,0.15,0.9,0.9856376217688807,lh,mwe-S32,32.0,2562.0,1.0,CC120640
169,5.0,0.15,0.9,0.9856376217688807,rh,mwe-S32,32.0,2562.0,1.0,CC120640
170,5.0,0.15,0.9,0.9894741840806447,lh,mwe-S32,32.0,2562.0,1.0,CC120727
171,5.0,0.15,0.9,0.9894741840806447,rh,mwe-S32,32.0,2562.0,1.0,CC120727
172,5.0,0.15,0.9,0.9779682907504893,lh,mwe-S32,32.0,2562.0,1.0,CC120795
173,5.0,0.15,0.9,0.9779682907504893,rh,mwe-S32,32.0,2562.0,1.0,CC120795
174,5.0,0.15,0.9,0.9932028217625568,lh,mwe-S32,32.0,2562.0,1.0,CC121106
175,5.0,0.15,0.9,0.9932028217625568,rh,mwe-S32,32.0,2562.0,1.0,CC121106
176,5.0,0.15,0.9,0.9613081326464294,lh,mwe-S32,32.0,2562.0,1.0,CC121111
177,5.0,0.15,0.9,0.9613081326464294,rh,mwe-S32,32.0,2562.0,1.0,CC121111
178,5.0,0.15,0.9,0.993319536296253,lh,mwe-S32,32.0,2562.0,1.0,CC121144
179,5.0,0.15,0.9,0.993319536296253,rh,mwe-S32,32.0,2562.0,1.0,CC121144
180,5.0,0.15,0.9,0.9705632804387887,lh,mwe-S32,32.0,2562.0,1.0,CC121411
181,5.0,0.15,0.9,0.9705632804387887,rh,mwe-S32,32.0,2562.0,1.0,CC121411
182,5.0,0.15,0.9,0.991046874679321,lh,mwe-S32,32.0,2562.0,1.0,CC121428
183,5.0,0.15,0.9,0.991046874679321,rh,mwe-S32,32.0,2562.0,1.0,CC121428
184,5.0,0.15,0.9,0.989722834807007,lh,mwe-S32,32.0,2562.0,1.0,CC122172
185,5.0,0.15,0.9,0.989722834807007,rh,mwe-S32,32.0,2562.0,1.0,CC122172
186,5.0,0.15,0.9,0.9874106520263305,lh,mwe-S32,32.0,2562.0,1.0,CC210519
187,5.0,0.15,0.9,0.9874106520263305,rh,mwe-S32,32.0,2562.0,1.0,CC210519
188,5.0,0.15,0.9,0.9779852840813181,lh,mwe-S32,32.0,2562.0,1.0,CC220526
189,5.0,0.15,0.9,0.9779852840813181,rh,mwe-S32,32.0,2562.0,1.0,CC220526
190,5.0,0.15,0.9,0.9846005355871108,lh,mwe-S32,32.0,2562.0,1.0,CC221373
191,5.0,0.15,0.9,0.9846005355871108,rh,mwe-S32,32.0,2562.0,1.0,CC221373
192,10.0,0.1,0.9,0.004175992248784954,lh,mwe-S32,32.0,2552.0,1.0,CC110033
193,10.0,0.1,0.9,0.004175992248784954,rh,mwe-S32,32.0,2557.0,1.0,CC110033
194,10.0,0.1,0.9,0.0025157733969769502,lh,mwe-S32,32.0,2555.0,1.0,CC110101
195,10.0,0.1,0.9,0.0025157733969769502,rh,mwe-S32,32.0,2553.0,1.0,CC110101
196,10.0,0.1,0.9,0.004056117189682906,lh,mwe-S32,32.0,2550.0,1.0,CC110187
197,10.0,0.1,0.9,0.004056117189682906,rh,mwe-S32,32.0,2545.0,1.0,CC110187
198,10.0,0.1,0.9,0.00495080082239252,lh,mwe-S32,32.0,2552.0,1.0,CC110411
199,10.0,0.1,0.9,0.00495080082239252,rh,mwe-S32,32.0,2552.0,1.0,CC110411
200,10.0,0.1,0.9,0.0012666987493107351,lh,mwe-S32,32.0,2551.0,1.0,CC110606
201,10.0,0.1,0.9,0.0012666987493107351,rh,mwe-S32,32.0,2551.0,1.0,CC110606
202,10.0,0.1,0.9,0.0019651777550008243,lh,mwe-S32,32.0,2555.0,1.0,CC112141
203,10.0,0.1,0.9,0.0019651777550008243,rh,mwe-S32,32.0,2556.0,1.0,CC112141
204,10.0,0.1,0.9,0.0019320029102487535,lh,mwe-S32,32.0,2554.0,1.0,CC120008
205,10.0,0.1,0.9,0.0019320029102487535,rh,mwe-S32,32.0,2554.0,1.0,CC120008
206,10.0,0.1,0.9,0.004928396112529598,lh,mwe-S32,32.0,2551.0,1.0,CC120049
207,10.0,0.1,0.9,0.004928396112529598,rh,mwe-S32,32.0,2557.0,1.0,CC120049
208,10.0,0.1,0.9,0.004089627522918415,lh,mwe-S32,32.0,2557.0,1.0,CC120061
209,10.0,0.1,0.9,0.004089627522918415,rh,mwe-S32,32.0,2556.0,1.0,CC120061
210,10.0,0.1,0.9,0.002376871580746398,lh,mwe-S32,32.0,2555.0,1.0,CC120120
211,10.0,0.1,0.9,0.002376871580746398,rh,mwe-S32,32.0,2551.0,1.0,CC120120
212,10.0,0.1,0.9,0.0035037965819096906,lh,mwe-S32,32.0,2556.0,1.0,CC120166
213,10.0,0.1,0.9,0.0035037965819096906,rh,mwe-S32,32.0,2552.0,1.0,CC120166
214,10.0,0.1,0.9,0.003393440604861242,lh,mwe-S32,32.0,2556.0,1.0,CC120182
215,10.0,0.1,0.9,0.003393440604861242,rh,mwe-S32,32.0,2553.0,1.0,CC120182
216,10.0,0.1,0.9,0.005637350946658404,lh,mwe-S32,32.0,2551.0,1.0,CC120218
217,10.0,0.1,0.9,0.005637350946658404,rh,mwe-S32,32.0,2552.0,1.0,CC120218
218,10.0,0.1,0.9,0.0019395761430754943,lh,mwe-S32,32.0,2554.0,1.0,CC120264
219,10.0,0.1,0.9,0.0019395761430754943,rh,mwe-S32,32.0,2556.0,1.0,CC120264
220,10.0,0.1,0.9,0.0028570460869112857,lh,mwe-S32,32.0,2554.0,1.0,CC120309
221,10.0,0.1,0.9,0.0028570460869112857,rh,mwe-S32,32.0,2552.0,1.0,CC120309
222,10.0,0.1,0.9,0.0035771060849615344,lh,mwe-S32,32.0,2558.0,1.0,CC120313
223,10.0,0.1,0.9,0.0035771060849615344,rh,mwe-S32,32.0,2552.0,1.0,CC120313
224,10.0,0.1,0.9,0.0031231380299611144,lh,mwe-S32,32.0,2552.0,1.0,CC120319
225,10.0,0.1,0.9,0.0031231380299611144,rh,mwe-S32,32.0,2550.0,1.0,CC120319
226,10.0,0.1,0.9,0.002711926273567422,lh,mwe-S32,32.0,2554.0,1.0,CC120376
227,10.0,0.1,0.9,0.002711926273567422,rh,mwe-S32,32.0,2558.0,1.0,CC120376
228,10.0,0.1,0.9,0.0056276063782519925,lh,mwe-S32,32.0,2556.0,1.0,CC120469
229,10.0,0.1,0.9,0.0056276063782519925,rh,mwe-S32,32.0,2551.0,1.0,CC120469
230,10.0,0.1,0.9,0.0058188330227930685,lh,mwe-S32,32.0,2556.0,1.0,CC120550
231,10.0,0.1,0.9,0.0058188330227930685,rh,mwe-S32,32.0,2557.0,1.0,CC120550
232,10.0,0.1,0.9,0.0033620986216938986,lh,mwe-S32,32.0,2551.0,1.0,CC120640
233,10.0,0.1,0.9,0.0033620986216938986,rh,mwe-S32,32.0,2555.0,1.0,CC120640
234,10.0,0.1,0.9,0.004451323983336364,lh,mwe-S32,32.0,2559.0,1.0,CC120727
235,10.0,0.1,0.9,0.004451323983336364,rh,mwe-S32,32.0,2555.0,1.0,CC120727
236,10.0,0.1,0.9,0.00141362640512388,lh,mwe-S32,32.0,2557.0,1.0,CC120795
237,10.0,0.1,0.9,0.00141362640512388,rh,mwe-S32,32.0,2551.0,1.0,CC120795
238,10.0,0.1,0.9,0.0042879064753965634,lh,mwe-S32,32.0,2556.0,1.0,CC121106
