,alpha,beta,depth,gof,hemi,model,n_tasks,ns,power,source_max,subject
108,1.0,0.4,0.9,0.4828713519663437,lh,re-mwe-S32,32.0,1.0,1.0,9.965412525751887,CC120795
109,1.0,0.4,0.9,0.4828713519663437,rh,re-mwe-S32,32.0,3.0,1.0,16.03790287662426,CC120795
110,1.0,0.4,0.9,0.5333605320599807,lh,re-mwe-S32,32.0,1.0,1.0,38.475179063157185,CC121106
111,1.0,0.4,0.9,0.5333605320599807,rh,re-mwe-S32,32.0,2.0,1.0,15.430159973140347,CC121106
112,1.0,0.4,0.9,0.4593004070986618,lh,re-mwe-S32,32.0,2.0,1.0,4.645921825315394,CC121111
113,1.0,0.4,0.9,0.4593004070986618,rh,re-mwe-S32,32.0,2.0,1.0,10.650788384459139,CC121111
114,1.0,0.4,0.9,0.6663588738023811,lh,re-mwe-S32,32.0,1.0,1.0,16.042194907820022,CC121144
115,1.0,0.4,0.9,0.6663588738023811,rh,re-mwe-S32,32.0,2.0,1.0,27.81391455835069,CC121144
116,1.0,0.4,0.9,0.4278577651287555,lh,re-mwe-S32,32.0,1.0,1.0,9.064936911439391,CC121411
117,1.0,0.4,0.9,0.4278577651287555,rh,re-mwe-S32,32.0,3.0,1.0,18.327568533503168,CC121411
118,1.0,0.4,0.9,0.3562946325328785,lh,re-mwe-S32,32.0,2.0,1.0,6.211443140828449,CC121428
119,1.0,0.4,0.9,0.3562946325328785,rh,re-mwe-S32,32.0,2.0,1.0,12.068879554972218,CC121428
120,1.0,0.4,0.9,0.5918531978465045,lh,re-mwe-S32,32.0,1.0,1.0,7.634539825200063,CC122172
121,1.0,0.4,0.9,0.5918531978465045,rh,re-mwe-S32,32.0,3.0,1.0,14.574283738271841,CC122172
122,1.0,0.4,0.9,0.6136929502050394,lh,re-mwe-S32,32.0,1.0,1.0,18.543776146569968,CC210519
123,1.0,0.4,0.9,0.6136929502050394,rh,re-mwe-S32,32.0,3.0,1.0,8.37295462655233,CC210519
124,1.0,0.4,0.9,0.5431716805684041,lh,re-mwe-S32,32.0,1.0,1.0,24.068054815074017,CC220526
125,1.0,0.4,0.9,0.5431716805684041,rh,re-mwe-S32,32.0,3.0,1.0,33.86666719482441,CC220526
126,1.0,0.4,0.9,0.5934569036704388,lh,re-mwe-S32,32.0,2.0,1.0,4.745865144129813,CC221373
127,1.0,0.4,0.9,0.5934569036704388,rh,re-mwe-S32,32.0,2.0,1.0,11.448875331938329,CC221373
128,4,0.15,0.9,0.9891456695416639,lh,re-mwe-S32,32.0,2562.0,1.0,7.403244500591949,CC110033
129,4,0.15,0.9,0.9891456695416639,rh,re-mwe-S32,32.0,2562.0,1.0,8.212457298565596,CC110033
130,4,0.15,0.9,0.9975323143389248,lh,re-mwe-S32,32.0,2562.0,1.0,4.686705457678866,CC110101
131,4,0.15,0.9,0.9975323143389248,rh,re-mwe-S32,32.0,2562.0,1.0,7.977328148350002,CC110101
132,4,0.15,0.9,0.9969522426346143,lh,re-mwe-S32,32.0,2562.0,1.0,5.226490240149345,CC110187
133,4,0.15,0.9,0.9969522426346143,rh,re-mwe-S32,32.0,2562.0,1.0,8.797842859585609,CC110187
134,4,0.15,0.9,0.9923793859617668,lh,re-mwe-S32,32.0,2562.0,1.0,8.565026591275377,CC110411
135,4,0.15,0.9,0.9923793859617668,rh,re-mwe-S32,32.0,2562.0,1.0,8.406569412489308,CC110411
136,4,0.15,0.9,0.9931403011019767,lh,re-mwe-S32,32.0,2562.0,1.0,8.337338937439888,CC110606
137,4,0.15,0.9,0.9931403011019767,rh,re-mwe-S32,32.0,2562.0,1.0,18.49110633257543,CC110606
138,4,0.15,0.9,0.9894430796527698,lh,re-mwe-S32,32.0,2562.0,1.0,18.011407453164203,CC112141
139,4,0.15,0.9,0.9894430796527698,rh,re-mwe-S32,32.0,2562.0,1.0,12.741653661293821,CC112141
140,4,0.15,0.9,0.995205839177287,lh,re-mwe-S32,32.0,2562.0,1.0,5.5988194729518,CC120008
141,4,0.15,0.9,0.995205839177287,rh,re-mwe-S32,32.0,2562.0,1.0,6.428739817356638,CC120008
142,4,0.15,0.9,0.9979966358021368,lh,re-mwe-S32,32.0,2562.0,1.0,6.617976805064215,CC120049
143,4,0.15,0.9,0.9979966358021368,rh,re-mwe-S32,32.0,2562.0,1.0,7.273760129162346,CC120049
144,4,0.15,0.9,0.9891129161910649,lh,re-mwe-S32,32.0,2562.0,1.0,7.576422568199695,CC120061
145,4,0.15,0.9,0.9891129161910649,rh,re-mwe-S32,32.0,2562.0,1.0,13.84164650757473,CC120061
146,4,0.15,0.9,0.995665459825029,lh,re-mwe-S32,32.0,2562.0,1.0,4.152061839659542,CC120120
147,4,0.15,0.9,0.995665459825029,rh,re-mwe-S32,32.0,2562.0,1.0,7.844344000658082,CC120120
148,4,0.15,0.9,0.9907322164123608,lh,re-mwe-S32,32.0,2562.0,1.0,8.10844634444854,CC120166
149,4,0.15,0.9,0.9907322164123608,rh,re-mwe-S32,32.0,2562.0,1.0,7.411114234742434,CC120166
150,4,0.15,0.9,0.9985305868033201,lh,re-mwe-S32,32.0,2562.0,1.0,7.890599162955603,CC120182
151,4,0.15,0.9,0.9985305868033201,rh,re-mwe-S32,32.0,2562.0,1.0,13.066018058687876,CC120182
152,4,0.15,0.9,0.9772343313984417,lh,re-mwe-S32,32.0,2562.0,1.0,6.875248384740954,CC120218
153,4,0.15,0.9,0.9772343313984417,rh,re-mwe-S32,32.0,2562.0,1.0,10.325314985942358,CC120218
154,4,0.15,0.9,0.9985528203738885,lh,re-mwe-S32,32.0,2562.0,1.0,8.420021232562172,CC120264
155,4,0.15,0.9,0.9985528203738885,rh,re-mwe-S32,32.0,2562.0,1.0,11.284136767222874,CC120264
156,4,0.15,0.9,0.9892065321363761,lh,re-mwe-S32,32.0,2562.0,1.0,4.584716485729874,CC120309
157,4,0.15,0.9,0.9892065321363761,rh,re-mwe-S32,32.0,2562.0,1.0,5.990228650531948,CC120309
158,4,0.15,0.9,0.9975579378610546,lh,re-mwe-S32,32.0,2562.0,1.0,6.530517158460276,CC120313
159,4,0.15,0.9,0.9975579378610546,rh,re-mwe-S32,32.0,2562.0,1.0,7.743011407310866,CC120313
160,4,0.15,0.9,0.9958191596828451,lh,re-mwe-S32,32.0,2562.0,1.0,7.812008085731336,CC120319
161,4,0.15,0.9,0.9958191596828451,rh,re-mwe-S32,32.0,2562.0,1.0,13.418957554683901,CC120319
162,4,0.15,0.9,0.9808601019161334,lh,re-mwe-S32,32.0,2562.0,1.0,9.515795793562793,CC120376
163,4,0.15,0.9,0.9808601019161334,rh,re-mwe-S32,32.0,2562.0,1.0,11.739405663448387,CC120376
164,4,0.15,0.9,0.9944946775408168,lh,re-mwe-S32,32.0,2562.0,1.0,7.075920710134742,CC120469
165,4,0.15,0.9,0.9944946775408168,rh,re-mwe-S32,32.0,2562.0,1.0,6.28723027497967,CC120469
166,4,0.15,0.9,0.9873318798180213,lh,re-mwe-S32,32.0,2562.0,1.0,5.596495264861963,CC120550
167,4,0.15,0.9,0.9873318798180213,rh,re-mwe-S32,32.0,2562.0,1.0,10.648271841157722,CC120550
168,4,0.15,0.9,0.9932174972810164,lh,re-mwe-S32,32.0,2562.0,1.0,8.185914440223238,CC120640
169,4,0.15,0.9,0.9932174972810164,rh,re-mwe-S32,32.0,2562.0,1.0,9.235791992806506,CC120640
170,4,0.15,0.9,0.9945796995273627,lh,re-mwe-S32,32.0,2562.0,1.0,8.902211156654852,CC120727
171,4,0.15,0.9,0.9945796995273627,rh,re-mwe-S32,32.0,2562.0,1.0,9.304050446651177,CC120727
172,4,0.15,0.9,0.9902129622768077,lh,re-mwe-S32,32.0,2562.0,1.0,8.506009527993898,CC120795
173,4,0.15,0.9,0.9902129622768077,rh,re-mwe-S32,32.0,2562.0,1.0,14.17065454510736,CC120795
174,4,0.15,0.9,0.9965122882434453,lh,re-mwe-S32,32.0,2562.0,1.0,5.091371325107938,CC121106
175,4,0.15,0.9,0.9965122882434453,rh,re-mwe-S32,32.0,2562.0,1.0,8.405688623433768,CC121106
176,4,0.15,0.9,0.9752740607543117,lh,re-mwe-S32,32.0,2562.0,1.0,6.112455972272828,CC121111
177,4,0.15,0.9,0.9752740607543117,rh,re-mwe-S32,32.0,2562.0,1.0,9.072640703752556,CC121111
178,4,0.15,0.9,0.9969015628530064,lh,re-mwe-S32,32.0,2562.0,1.0,5.342161913845955,CC121144
179,4,0.15,0.9,0.9969015628530064,rh,re-mwe-S32,32.0,2562.0,1.0,6.892402577514263,CC121144
180,4,0.15,0.9,0.9765104407563922,lh,re-mwe-S32,32.0,2562.0,1.0,4.750530228249007,CC121411
181,4,0.15,0.9,0.9765104407563922,rh,re-mwe-S32,32.0,2562.0,1.0,12.921689897802386,CC121411
182,4,0.15,0.9,0.9965046095708595,lh,re-mwe-S32,32.0,2562.0,1.0,30.756071393456697,CC121428
183,4,0.15,0.9,0.9965046095708595,rh,re-mwe-S32,32.0,2562.0,1.0,9.219434177148013,CC121428
184,4,0.15,0.9,0.9946411858254853,lh,re-mwe-S32,32.0,2562.0,1.0,8.625450857629446,CC122172
185,4,0.15,0.9,0.9946411858254853,rh,re-mwe-S32,32.0,2562.0,1.0,11.335190678961236,CC122172
186,4,0.15,0.9,0.9932223783835339,lh,re-mwe-S32,32.0,2562.0,1.0,5.96021846324238,CC210519
187,4,0.15,0.9,0.9932223783835339,rh,re-mwe-S32,32.0,2562.0,1.0,6.115773658448995,CC210519
188,4,0.15,0.9,0.9908357362002773,lh,re-mwe-S32,32.0,2562.0,1.0,14.994225021675538,CC220526
189,4,0.15,0.9,0.9908357362002773,rh,re-mwe-S32,32.0,2562.0,1.0,35.259930866487224,CC220526
190,4,0.15,0.9,0.989408376523968,lh,re-mwe-S32,32.0,2562.0,1.0,9.522333276453084,CC221373
191,4,0.15,0.9,0.989408376523968,rh,re-mwe-S32,32.0,2562.0,1.0,13.055625322241108,CC221373
192,5,0.15,0.9,0.9858578999633408,lh,re-mwe-S32,32.0,2562.0,1.0,6.121725190680066,CC110033
193,5,0.15,0.9,0.9858578999633408,rh,re-mwe-S32,32.0,2562.0,1.0,7.469952259990495,CC110033
194,5,0.15,0.9,0.99622832921512,lh,re-mwe-S32,32.0,2562.0,1.0,4.553312702226334,CC110101
195,5,0.15,0.9,0.99622832921512,rh,re-mwe-S32,32.0,2562.0,1.0,7.320889957580299,CC110101
196,5,0.15,0.9,0.9954157243395653,lh,re-mwe-S32,32.0,2562.0,1.0,4.066272038106361,CC110187
197,5,0.15,0.9,0.9954157243395653,rh,re-mwe-S32,32.0,2562.0,1.0,8.377804831101363,CC110187
198,5,0.15,0.9,0.9894936757080243,lh,re-mwe-S32,32.0,2562.0,1.0,8.486692278868867,CC110411
199,5,0.15,0.9,0.9894936757080243,rh,re-mwe-S32,32.0,2562.0,1.0,7.5970570640319295,CC110411
200,5,0.15,0.9,0.9889686877599199,lh,re-mwe-S32,32.0,2562.0,1.0,6.966104419492223,CC110606
201,5,0.15,0.9,0.9889686877599199,rh,re-mwe-S32,32.0,2562.0,1.0,17.435794530846103,CC110606
202,5,0.15,0.9,0.9857852931452368,lh,re-mwe-S32,32.0,2562.0,1.0,15.598753617718407,CC112141
203,5,0.15,0.9,0.9857852931452368,rh,re-mwe-S32,32.0,2562.0,1.0,10.338459852924593,CC112141
204,5,0.15,0.9,0.993016329981975,lh,re-mwe-S32,32.0,2562.0,1.0,5.497363604878492,CC120008
205,5,0.15,0.9,0.993016329981975,rh,re-mwe-S32,32.0,2562.0,1.0,5.813768450702865,CC120008
206,5,0.15,0.9,0.9968590823682987,lh,re-mwe-S32,32.0,2562.0,1.0,6.5690699646249895,CC120049
207,5,0.15,0.9,0.9968590823682987,rh,re-mwe-S32,32.0,2562.0,1.0,7.190163035905986,CC120049
208,5,0.15,0.9,0.9863358019408075,lh,re-mwe-S32,32.0,2562.0,1.0,7.461989517624946,CC120061
209,5,0.15,0.9,0.9863358019408075,rh,re-mwe-S32,32.0,2562.0,1.0,12.548797017484976,CC120061
210,5,0.15,0.9,0.9937042919835608,lh,re-mwe-S32,32.0,2562.0,1.0,4.654667200209037,CC120120
211,5,0.15,0.9,0.9937042919835608,rh,re-mwe-S32,32.0,2562.0,1.0,6.922097042752311,CC120120
212,5,0.15,0.9,0.9869821684858019,lh,re-mwe-S32,32.0,2562.0,1.0,7.028563997245212,CC120166
213,5,0.15,0.9,0.9869821684858019,rh,re-mwe-S32,32.0,2562.0,1.0,7.994493618857759,CC120166
214,5,0.15,0.9,0.9977170395589208,lh,re-mwe-S32,32.0,2562.0,1.0,7.375810037045999,CC120182
215,5,0.15,0.9,0.9977170395589208,rh,re-mwe-S32,32.0,2562.0,1.0,13.68882094744485,CC120182
216,5,0.15,0.9,0.9730694934078002,lh,re-mwe-S32,32.0,2562.0,1.0,7.705143012714995,CC120218
217,5,0.15,0.9,0.9730694934078002,rh,re-mwe-S32,32.0,2562.0,1.0,9.766983580712719,CC120218
218,5,0.15,0.9,0.9976206992708266,lh,re-mwe-S32,32.0,2562.0,1.0,8.356982509294925,CC120264
219,5,0.15,0.9,0.9976206992708266,rh,re-mwe-S32,32.0,2562.0,1.0,8.8831211328887,CC120264
220,5,0.15,0.9,0.9863551801523781,lh,re-mwe-S32,32.0,2562.0,1.0,4.7816974754201595,CC120309
221,5,0.15,0.9,0.9863551801523781,rh,re-mwe-S32,32.0,2562.0,1.0,6.096089357946112,CC120309
222,5,0.15,0.9,0.9960204883589,lh,re-mwe-S32,32.0,2562.0,1.0,5.4626128347122975,CC120313
223,5,0.15,0.9,0.9960204883589,rh,re-mwe-S32,32.0,2562.0,1.0,6.873719308380534,CC120313
224,5,0.15,0.9,0.9939066200662713,lh,re-mwe-S32,32.0,2562.0,1.0,7.735421715437151,CC120319
225,5,0.15,0.9,0.9939066200662713,rh,re-mwe-S32,32.0,2562.0,1.0,13.334526399264199,CC120319
226,5,0.15,0.9,0.976149885822754,lh,re-mwe-S32,32.0,2562.0,1.0,8.636889249932185,CC120376
227,5,0.15,0.9,0.976149885822754,rh,re-mwe-S32,32.0,2562.0,1.0,11.671337759797472,CC120376
228,5,0.15,0.9,0.9924564730571788,lh,re-mwe-S32,32.0,2562.0,1.0,5.735109971569236,CC120469
229,5,0.15,0.9,0.9924564730571788,rh,re-mwe-S32,32.0,2562.0,1.0,6.533190340202162,CC120469
230,5,0.15,0.9,0.9835874459596883,lh,re-mwe-S32,32.0,2562.0,1.0,6.224243118710613,CC120550
